Date,Course,Time,RaceCode,RaceType,SubType,Runners,Distance,Going,Class,Saddle,Draw,FormLine,Name,Age,Sex,Headgear,FirstGear,GearOn,CD,Gambled,BeatFav,LastRan,LastWon,RunsSince,HcapCount,Type,RunStyle,OR,Last_OR,HWM,LastWM,Form,Speed,Odds,OddsPos,DecOdds,MinOdds,MaxOdds,AvgOdds,Wins,Runs,HCrsWin,HCrsRun,HCrsStrk,HGngWin,HGngRun,HGngStrk,DistChange,HDisWin,HDisRun,HDisStrk,ClassChange,HClassWin,HClassRun,HClassStrk,HTotPrize,Trainer,TCrseWin,TCrseRun,TCrseStrk,TRTypeWin,TRTypeRun,TRTypeStrk,T14Win,T14Run,T14Strk,T30Win,T30Run,T30Strk,T60Win,T60Run,T60Strk,TJWin,TJRun,TJStrk,Jockey,JCrseWin,JCrseRun,JCrseStrk,JRTypeWin,JRTypeRun,JRTypeStrk,J14Win,J14Run,J14Strk,J30Win,J30Run,J30Strk,J60Win,J60Run,J60Strk,Owner,OCrseWin,OCrseRun,OCrseStrk,ORTypeWin,ORTypeRun,ORTypeStrk,O14Win,O14Run,O14Strk,O30Win,O30Run,O30Strk,O60Win,O60Run,O60Strk,Sire,SCrseWin,SCrseRun,SCrseStrk,SRTypeWin,SRTypeRun,SRTypeStrk,S14Win,S14Run,S14Strk,S30Win,S30Run,S30Strk,S60Win,S60Run,S60Strk,LastPerf,LastPerf_2,Fitness,Ability,Conditions,Vibes,Market,Rank,Travel,Shortlist,Tip,Position,Casualty,Status,RaceComment,WellHcap,FormRate,TForm,JForm
2019-10-01,AYR,1:50,FLT,HANDICAP,AppHCapFlt,14,8,Soft,6,11,4,239974,Cliff Bay (IRE),5,G,b,N,,CD,,(BF),8,106,6,29,a sleeper,Unknown,49,49,63,48,59,101,13/1,7,13.5,12.5,15,14.21,3,33,1,7,14.29,2,10,20,SAME,2,14,14.29,SAME,2,16,12.5,14017,Keith Dalgleish,22,265,8.3,119,1145,10.39,8,76,10.53,13,115,11.3,35,239,14.64,0,0,0,Ella McCain,1,5,20,6,67,8.96,0,3,0,0,5,0,0,16,0,Ken McGarrity,4,29,13.79,7,88,7.95,0,3,0,0,6,0,0,17,0,Elzaam (AUS),2,27,7.41,74,824,8.98,3,28,10.71,7,56,12.5,10,123,8.13,1,2,1,2,1,3,2,6,,N,N,,,Runner,,positive,negative,N,N
2019-10-01,AYR,1:50,FLT,HANDICAP,AppHCapFlt,14,8,Soft,6,12,14,407943,Snooker Jim,4,G,t,N,,,,N,8,0,999,16,improving,Unknown,48,48,,0,59,100,20/1,10,21,16,21,19.11,0,19,0,0,0,0,7,0,SAME,0,8,0,SAME,0,7,0,5239,Steph Hollinshead,0,1,0,4,158,2.53,0,4,0,0,10,0,0,25,0,2,86,2.33,Toby Eley,0,2,0,13,172,7.56,2,11,18.18,2,22,9.09,4,45,0,Debbie Hodson,0,0,0,0,29,0,0,1,0,0,2,0,0,7,0,Holy Roman Emperor (IRE),2,16,12.5,170,1838,9.25,3,40,7.5,4,81,4.94,8,150,5.33,1,1,1,3,2,3,3,10,,N,N,,,Runner,,positive,negative,C,N
2019-10-01,AYR,1:50,FLT,HANDICAP,AppHCapFlt,14,8,Soft,6,13,1,6-58586,Darwina,3,F,h,N,,,,N,8,354,7,9,a sleeper,Unknown,50,56,,0,47,90,66/1,14,80,75,85,77.22,1,15,0,1,0,0,2,0,SAME,0,2,0,DOWN,0,4,0,1285,Alistair Whillans,2,50,4,12,221,5.43,2,20,10,3,35,8.57,7,69,10.14,0,0,0,Russell Harris,1,1,100,1,28,3.57,0,3,0,0,3,0,0,5,0,K & L Fitzsimons,0,1,0,0,5,0,0,2,0,0,2,0,0,4,0,Dark Angel (IRE),9,79,11.39,364,3384,10.76,5,80,6.25,18,165,10.91,41,398,10.3,3,3,2,3,2,3,3,11,,N,N,,,Runner,,neutral,negative,N,C
2019-10-01,AYR,1:50,FLT,HANDICAP,AppHCapFlt,14,8,Soft,6,14,9,220449,Tom's Anna (IRE),9,M,,N,,,,N,33,2338,30,29,in form,Unknown,45,46,,0,48,101,40/1,11,48,44,44,44,1,32,0,0,0,0,5,0,UP,0,16,0,SAME,0,18,0,7686,Sean Regan,0,0,0,0,20,0,0,0,0,0,0,0,0,4,0,0,0,0,Izzy Clifton,1,5,20,5,56,8.93,0,2,0,0,6,0,0,18,0,Mrs Connie Taylor,0,0,0,0,18,0,0,0,0,0,0,0,0,4,0,Antonius Pius (USA),0,2,0,16,179,8.94,0,2,0,1,4,25,1,11,9.09,3,1,3,3,2,3,3,11,,N,N,,,Runner,,neutral,negative,C,N
2019-10-01,AYR,2:20,FLT,HANDICAP,HCapFlt,8,6,Soft,5,1,8,985429,Naadirr (IRE),8,G,v,N,,D,,N,34,555,12,22,in form,Unknown,74,73,92,92,81,103,15/1,8,16,16,19,17.5,5,48,0,1,0,1,7,14.29,UP,4,41,9.76,SAME,0,2,0,198216,Kevin Ryan,4,71,5.63,118,945,12.49,3,38,7.89,9,67,13.43,29,147,19.73,33,309,10.68,Tom Eaves,0,70,0,59,814,7.25,3,35,8.57,5,57,8.77,16,128,0,Middleham Park Racing XXX,0,1,0,1,13,7.69,0,0,0,0,0,0,0,3,0,Oasis Dream (GB),2,27,7.41,203,1903,10.67,4,44,9.09,11,86,12.79,24,197,12.18,3,1,3,1,2,3,2,8,,N,N,,,Runner,,positive,neutral,N,N
2019-10-01,AYR,2:20,FLT,HANDICAP,HCapFlt,8,6,Soft,5,2,5,738405,John Kirkup,4,G,b,N,,D,,N,15,116,6,25,exposed,Unknown,73,74,86,74,82,103,5/1,3,5.9,5.5,5.9,5.59,4,30,0,3,0,3,12,25,DOWN,1,18,5.56,SAME,3,5,60,36990,Michael Dods,10,98,10.2,78,790,9.87,2,41,4.88,5,69,7.25,15,159,9.43,20,134,14.93,Connor Beasley,9,76,11.84,70,622,11.25,2,26,7.69,7,44,15.91,11,94,0,Mrs Suzanne Kirkup & Kevin Kirkup,0,2,0,1,22,4.55,0,0,0,0,1,0,0,3,0,Assertive (GB),1,13,7.69,25,297,8.42,1,5,20,1,10,10,4,31,12.9,2,3,1,2,1,2,2,2,,N,N,,,Runner,,positive,positive,N,N
2019-10-01,AYR,2:20,FLT,HANDICAP,HCapFlt,8,6,Soft,5,3,7,415126,Dancing Rave,3,F,,N,,D,,(BF),1,74,2,10,improving,Unknown,74,75,69,69,80,101,8/1,5,9,7.2,9.2,8.14,3,15,0,0,0,3,8,37.5,SAME,2,9,22.22,SAME,2,10,20,19857,David O'Meara,14,75,18.67,195,1507,12.94,8,54,14.81,14,101,13.86,32,240,13.33,101,659,15.33,Daniel Tudhope,15,88,17.05,237,1289,18.39,13,59,22.03,17,102,16.67,38,230,0,David Lumley & Partner,0,0,0,3,14,21.43,0,0,0,0,0,0,0,2,0,Coach House (IRE),1,6,16.67,38,517,7.35,2,24,8.33,3,44,6.82,9,105,8.57,2,1,1,2,1,3,2,4,,N,N,,,Runner,,positive,neutral,N,H
2019-10-01,AYR,2:20,FLT,HANDICAP,HCapFlt,8,6,Soft,5,4,1,554330,Yes You (IRE),5,M,,N,,CD,,N,1,388,11,28,in form,Unknown,72,73,79,79,79,100,11/1,7,11.5,11.5,11.5,11.5,7,32,2,6,33.33,4,14,28.57,DOWN,7,25,28,SAME,3,11,27.27,39304,Iain Jardine,16,143,11.19,50,615,8.13,2,26,7.69,6,48,12.5,15,105,14.29,30,324,9.26,Jamie Gormley,14,94,14.89,60,633,9.48,3,21,14.29,3,34,8.82,8,86,14.29,Top Of The Hill Racing Club,0,3,0,3,41,7.32,0,1,0,1,3,33.33,1,7,14.29,Choisir (AUS),2,12,16.67,88,728,12.09,1,13,7.69,3,24,12.5,7,55,12.73,3,1,2,1,1,3,2,6,,N,N,,,Runner,,positive,neutral,N,N
2019-10-01,AYR,2:20,FLT,HANDICAP,HCapFlt,8,6,Soft,5,5,6,080001,Rattling Jewel,7,G,,N,,D,,N,18,18,0,46,in form,Unknown,70,65,85,65,71,88,9/2,2,5.6,4.9,5.3,5.04,6,51,0,0,0,3,20,15,DOWN,2,26,7.69,UP,1,7,14.29,71178,J J Lambe,0,3,0,2,62,3.23,0,4,0,1,11,9.09,1,28,3.57,1,25,4,Gavin Ryan,0,0,0,21,262,8.02,0,8,0,2,28,7.14,6,66,25,John J F O'Mahony,0,0,0,2,20,10,0,0,0,1,2,50,1,4,25,Royal Applause (GB),0,6,0,75,1074,6.98,2,20,10,5,36,13.89,5,76,6.58,1,3,1,2,2,1,2,1,,N,Y,,,Runner,,neutral,neutral,N,N
2019-10-01,AYR,2:20,FLT,HANDICAP,HCapFlt,8,6,Soft,5,6,2,823535,Amazing Grazing (IRE),5,G,,N,,D,,(BF),20,513,19,28,a sleeper,Unknown,65,66,70,70,74,100,9/1,6,10.5,10.5,10.5,10.5,3,33,0,2,0,1,8,12.5,UP,1,14,7.14,SAME,1,13,7.69,10537,Rebecca Bastiman,6,63,9.52,38,484,7.85,1,16,6.25,1,23,4.35,2,66,3.03,3,87,3.45,Phil Dennis,2,69,2.9,32,576,5.56,1,36,2.78,2,54,3.7,8,124,0,The Redhotgardogs 2,0,2,0,1,14,7.14,0,0,0,0,1,0,0,2,0,Intense Focus (USA),3,15,20,73,872,8.37,0,22,0,1,43,2.33,6,92,6.52,2,1,1,2,2,3,2,5,,N,N,,,Runner,,positive,neutral,N,N
